Title,Content,Post Type,Permalink,Rubbish Tip Locations - Categories,Rubbish Tip Locations - Region,Rubbish Tip Locations - Accepted Materials,Slug,Custom URI,field_name,address,street,street2,city,province,zip,country,lat,lng
Balcatta Recycling Centre,"The City of Stirling has a dedicated recycling centre, where you can dispose of recyclables and reusable items, household hazardous waste, general waste and car tyres. Find out about location, opening hours, fees and what items you can dispose of.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/balcatta-recycling-centre-balcatta-recycling-centre/,Recycling Centre,Perth,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,balcatta-recycling-centre-balcatta-recycling-centre,perth/balcatta-recycling-centre-balcatta-recycling-centre,location_address,"238 Balcatta Rd, Balcatta WA 6021, Australia",Balcatta Road,,,Western Australia,6021,AU,-31.864536,115.820982
Veolia Welshpool Resource Recovery Centre - Recycling Centre,"SUEZ service centres are at the core of our day-to-day collection operations. These sites provide crucial infrastructure for the management and supervision of our collection operations including administration, maintenance, container storage and preparation, vehicle wash down and refuelling facilities.

Some SUEZ service centres also provide fundamental recycling activities such as paper &amp; cardboard baling or act as a transition point for other recyclable materials.

In addition to housing SUEZ's Western Australian head office and administration centre, the site has:

Resource recovery &amp; treatment facility
Transfer station
e-Waste resource recovery facility
Service centre
Need-A-Bin services &amp; operations",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/veolia-welshpool-resource-recovery-centre-welshpool-recycling-centre/,Recycling Centre,Perth,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-welshpool-resource-recovery-centre-welshpool-recycling-centre,perth/veolia-welshpool-resource-recovery-centre-welshpool-recycling-centre,location_address,"116 Kurnall Rd, Welshpool WA 6106, Australia",Kurnall Road,,,Western Australia,6106,AU,-31.988507,115.961951
SUEZ Bibra Lake Resource Recovery Park - Transfer Station,"*This site is not open to the public.

Our modern recycling centre was built using state-of-art technology to ensure the maximum recovery of recyclables. The MRF can process up to 30 tonnes per hour - that is equivalent to four full recycling trucks.

The Recycling Centre accepts ‘mixed recycling’ (i.e. mixed plastic and cardboard containers, cans and bottles).

That makes recycling easier for everyone, as recyclables don’t need to be separated for collection.

Collection trucks bring recyclables to our recycling centre in Bibra Lake, 20km south of the Perth CBD. The recyclables are unloaded into an area called the “tipping floor”.

From the tipping floor, recycling is placed onto a conveyor belt to commence processing. Recycling is then sorted by MRF machinery or by hand into “material streams” of:",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/suez-bibra-lake-resource-recovery-park-bibra-lake-transfer-station/,Transfer Station,Perth,Construction Material|Metals|Paper &amp; Cardboard|Rubber,suez-bibra-lake-resource-recovery-park-bibra-lake-transfer-station,perth/suez-bibra-lake-resource-recovery-park-bibra-lake-transfer-station,location_address,"65 Howson Way, Bibra Lake WA 6163, Australia",Howson Way,,,Western Australia,6163,AU,-32.110156,115.806054
REminda WA - Reuse Centre - West Perth - Recycling Centre,"Wherever possible, we support the responsible disposal of unwanted items.

Here are some questions to help you decide if the item is a potential REmida resource.

​

- Can it be directly-repurposed into a classroom setting?

- Does it require a lot of cleaning before it can be used and, if so, am I willing to clean it so REmida doesn't have to?

- Would I give the item to my kids to play with or use?

- Does the item fall into an arts and craft category?

- Can I see something like my item when I look at the materials pictures?

Have I emailed REmida to see if they can either take the item or point me in the right direction?",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/remida-wa-reuse-centre-west-perth-recycling-centre/,Recycling Centre,Perth,Clothes &amp; Textiles|Electronics|Plastics,remida-wa-reuse-centre-west-perth-recycling-centre,perth/remida-wa-reuse-centre-west-perth-recycling-centre,location_address,,Prospect Place,,,Western Australia,6003,AU,-31.941347,115.851507
Cleanaway Dandenong SEMTS – South East Melbourne Transfer Station - Dandenong South,"Cleanaway Dandenong South is a commercial drop off and disposal site, accepting waste from businesses and industrial facilities only.

We accept general waste, construction and demolition waste and timber. All waste types are rated and charged on entry. Medium-density fibreboard and construction and demolition waste are charged at inert waste rates.

As part of Cleanaway’s commitment to resource recovery, we are proud to separate waste material for recycling and divert it away from landfill wherever possible. Speak to us for a quote or find out more information about our products and services.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/cleanaway-dandenong-semts-south-east-melbourne-transfer-station-dandenong-south-transfer-station/,Transfer Station,Melbourne,Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,cleanaway-dandenong-semts-south-east-melbourne-transfer-station-dandenong-south-transfer-station,melbourne/cleanaway-dandenong-semts-south-east-melbourne-transfer-station-dandenong-south-transfer-station,location_address,,72 Thomas Murrell Crescent,,Melbourne,Victoria,3175,AU,-38.021852,145.197529
City of South Perth Recycling Centre - Como - Transfer Station,"As part of the annual rubbish levy, residential ratepayers receive three entry vouchers for the Recycling Centre. These are sent out at the beginning of each financial year with the rates notices.

The vouchers entitle the residential ratepayer to dispose of two payloads of green waste and one payload of general waste per year.

To use, tear off the whole entry voucher and present it in full to the attendant at the Recycling Centre.

Please note the following:

Your assessment number and barcode is printed on the entry voucher
Once you have used your voucher you will not be able to get a second voucher
You will not be able to receive a replacement voucher if it is lost. Please keep it in a safe place
Occupiers who are not owners or do not pay a rubbish levy are not entitled to receive an entry voucher
Occupiers will need to obtain the voucher from the property owner or pay to use the Recycling Centre
Only valid entry vouchers will be accepted.
The gate attendant’s assessment of the voucher and load will be final.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/city-of-south-perth-recycling-centre-como-transfer-station/,Transfer Station,Perth,Batteries|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics,city-of-south-perth-recycling-centre-como-transfer-station,perth/city-of-south-perth-recycling-centre-como-transfer-station,location_address,"Corner Thelma St and, Hayman Rd, Como WA 6152, Australia",,,,,,,-31.997512,115.88224
Cleanaway Erskine Park Transfer Station,"The Erskine Park Transfer Station separates recyclable materials from the waste streams to be managed as a commodity. The facility serves the Sydney Metropolitan area and is expected to divert up to 40% of the waste streams from landfill and into a recycling facility.

The transfer station is located in the key growth areas surrounding the M7/M4 corridors, and is perfectly positioned just minutes away from the site of Sydney’s second airport at Badgery’s Creek. The site is available to all our commercial partners ranging from demolition companies to commercial &amp; industrial collections businesses, as well as municipal clients.

Call us on 02 9834 0400 to arrange a free consultation, or to find out more about our products, services and pricing.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/cleanaway-erskine-park-transfer-station-erskine-park-transfer-station/,Transfer Station,Sydney,Cars &amp; Other Vehicles|Construction Material|Electronics|Metals|Paper &amp; Cardboard|Plastics|Rubber,cleanaway-erskine-park-transfer-station-erskine-park-transfer-station,sydney/cleanaway-erskine-park-transfer-station-erskine-park-transfer-station,location_address,"85-87 Quarry Rd, Erskine Park NSW 2759, Australia",Quarry Road,,Sydney,New South Wales,2759,AU,-33.818321,150.783714
Cleanaway Hallam Transfer Station,"Cleanaway Hallam Transfer Station is part of the Victoria Commingled Resource Recovery (VCRR) network of assets acquired from SKM Recycling in October 2019. The facility is a drop off and disposal site where commercial and municipal recycling is collected for further processing. The site has been upgraded for the safety and protection of our teams and visitors including civil works to ensure regulatory compliance.

We are committed to helping our councils, customers, and local communities recycle right through our online recycling education, community programs and bin signage.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/cleanaway-hallam-transfer-station-hallam-transfer-station/,Transfer Station,Melbourne,Construction Material|Metals|Paper &amp; Cardboard|Plastics|Rubber,cleanaway-hallam-transfer-station-hallam-transfer-station,melbourne/cleanaway-hallam-transfer-station-hallam-transfer-station,location_address,"39 Wedgewood Rd, Hallam VIC 3803, Australia",Wedgewood Road,,Melbourne,Victoria,3803,AU,-38.008701,145.255583
Cleanaway Wingfield Resource Recovery Centre - Dry Creek - Transfer Station,"Cleanaway Wingfield is a resource recovery centre that accepts solid waste from contractors and the public, including general waste, green waste, recyclable waste including steel and cardboard, small construction and demolition waste and putrescible waste. We provide quick and easy unloading facilities, as public and contractor vehicles have separate unloading areas.

As part of Cleanaway’s commitment to resource recovery, we are proud to separate waste material for recycling wherever possible so that you can do your bit for sustainability. Talk to us for a free consultation, or to find out more about our products and services.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/cleanaway-wingfield-resource-recovery-centre-dry-creek-transfer-station/,Transfer Station,Adelaide,Chemicals &amp; Liquids|Construction Material|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,cleanaway-wingfield-resource-recovery-centre-dry-creek-transfer-station,adelaide/cleanaway-wingfield-resource-recovery-centre-dry-creek-transfer-station,location_address,"412 Hanson Rd, Wingfield SA 5013, Australia",Hanson Road,,Adelaide,South Australia,5013,AU,-34.829509,138.547059
Mandurah Tip: Transfer Station - Parklands,"Cleanaway operates Mandurah’s transfer station. As alliance partner of the City of Mandurah, Cleanaway provides residential and business waste management services throughout Mandurah. To find out residential &amp; commercial rubbish tip fees &amp; acceptable wastes, visit our website.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/mandurah-tip-transfer-station-parklands-transfer-station/,Transfer Station,Perth,Chemicals &amp; Liquids|Electronics|Metals,mandurah-tip-transfer-station-parklands-transfer-station,perth/mandurah-tip-transfer-station-parklands-transfer-station,location_address,"100 Gordon Rd, Parklands WA 6180, Australia",,,,,,,-32.511046,115.75631
Kartaway East Brunswick Public Transfer Station,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/kartaway-east-brunswick-public-transfer-station-east-brunswick-transfer-station/,Transfer Station,Melbourne,Construction Material|Metals|Paper &amp; Cardboard|Plastics|Rubber,kartaway-east-brunswick-public-transfer-station-east-brunswick-transfer-station,melbourne/kartaway-east-brunswick-public-transfer-station-east-brunswick-transfer-station,location_address,"32 Kirkdale St, Brunswick East VIC 3057, Australia",Kirkdale Street,,Melbourne,Victoria,3057,AU,-37.770248,144.982574
West Melbourne Recycling Centre,"The West Melbourne centre is the closest recycling centre to Melbourne’s CBD. It is conveniently located to handle household, building, construction &amp; demolition waste of any project in or near Melbourne’s CBD, Port Melbourne, Docklands, St Kilda, Brighton, and other surrounding areas.

It features all-weather access, full concrete hardstand and is open 6 days a week – Monday to Saturday.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.

For safety reasons BINGO does not accept loads required to be unloaded by hand, this includes loads from transit vans, box trailers and utes.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/west-melbourne-recycling-centre-west-melbourne-recycling-centre/,Recycling Centre,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,west-melbourne-recycling-centre-west-melbourne-recycling-centre,melbourne/west-melbourne-recycling-centre-west-melbourne-recycling-centre,location_address,,Dynon Road,,Melbourne,Victoria,3003,AU,-37.801623,144.918798
Clayton South Recycling Centre,"The Clayton South recycling centre is open from Monday to Saturday, 6 days a week. It is ideally located to service trades, builders, business and households in Melbourne’s South-East suburbs including: Sandringham, Moorabbin, Cheltenham, Springvale and Clayton.

It features all-weather access, full concrete hardstand and easy unload areas.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.

For safety reasons BINGO does not accept loads required to be unloaded by hand, this includes loads from transit vans, box trailers and utes.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/clayton-south-recycling-centre-clayton-south-recycling-centre/,Recycling Centre,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,clayton-south-recycling-centre-clayton-south-recycling-centre,melbourne/clayton-south-recycling-centre-clayton-south-recycling-centre,location_address,,Fairbank Road,,Melbourne,Victoria,3169,AU,-37.943191,145.128348
Dandenong Recycling Centre,"The Dandenong recycling centre is open from Monday to Saturday, 6 days a week. It is ideally located to service trades, builders, business and households in Melbourne’s South-East suburbs.

Contact us and find out about our competitive rates.

For safety reasons BINGO does not accept loads required to be unloaded by hand, this includes loads from transit vans, box trailers and utes.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/dandenong-recycling-centre-dandenong-recycling-centre/,Recycling Centre,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,dandenong-recycling-centre-dandenong-recycling-centre,melbourne/dandenong-recycling-centre-dandenong-recycling-centre,location_address,,,,,,,,-37.991399,145.193477
Campbellfield Recycling Centre,"Located 16km from Melbourne’s CBD is our Campbellfield recycling centre. It handles all construction &amp; demolition waste as well as household waste and is open to the public.

Open 6 days a week, it features all-weather access, full concrete hardstand and easy unload areas.
Minimise your environmental impact by transporting your waste to our Campbellfield recycling centre.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.

For safety reasons BINGO does not accept loads required to be unloaded by hand, this includes loads from transit vans, box trailers and utes.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/campbellfield-recycling-centre-campbellfield-recycling-centre/,Recycling Centre,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,campbellfield-recycling-centre-campbellfield-recycling-centre,melbourne/campbellfield-recycling-centre-campbellfield-recycling-centre,location_address,,Northbourne Road,,Melbourne,Victoria,3061,AU,-37.648662,144.957957
Braeside Recycling Centre,"Open 6 days a week, it features all-weather access, full concrete hardstand and easy unload areas.
Minimise your environmental impact by transporting your waste to our Braeside recycling centre.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.

For safety reasons BINGO does not accept loads required to be unloaded by hand, this includes loads from transit vans, box trailers and utes.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/braeside-recycling-centre-braeside-recycling-centre/,Recycling Centre,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,braeside-recycling-centre-braeside-recycling-centre,melbourne/braeside-recycling-centre-braeside-recycling-centre,location_address,,Malcolm Road,,Melbourne,Victoria,3195,AU,-38.000986,145.112637
Alexandria Recycling Centre,"EPL NO. 4679

Our Alexandria facility is conveniently located 15 minutes from Sydney’s CBD and is open 6 days a week.

Contact us and find out about our competitive rates.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/alexandria-recycling-centre-alexandria-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,alexandria-recycling-centre-alexandria-recycling-centre,sydney/alexandria-recycling-centre-alexandria-recycling-centre,location_address,"76 Burrows Rd, Alexandria NSW 2015, Australia",Burrows Road,,Sydney,New South Wales,2015,AU,-33.911582,151.189774
Artarmon Recycling Centre,"EPL NO. 20763

Our Artarmon facility is conveniently located 10 minutes from North Sydney and 15 minutes from Sydney’s CBD.
There is all-weather access and full concrete hardstand.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/artarmon-recycling-centre-artarmon-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,artarmon-recycling-centre-artarmon-recycling-centre,sydney/artarmon-recycling-centre-artarmon-recycling-centre,location_address,"10 McLachlan Ave, Artarmon NSW 2064, Australia",McLachlan Avenue,,Sydney,New South Wales,2064,AU,-33.813523,151.18078
